2022/01/23 13:45:17 Micro started
2022/01/23 13:49:12 Cleared cursors: 1
2022/01/23 13:49:40 winkwonk.c winkwonk.c
2022/01/23 13:49:40 winkwonk.c winkwonk.c
2022/01/23 14:07:18 winkwonk.c winkwonk.c
2022/01/23 14:07:18 winkwonk.c winkwonk.c
2022/01/23 14:07:42 winkwonk.c winkwonk.c
2022/01/23 14:07:42 winkwonk.c winkwonk.c
2022/01/23 14:08:09 winkwonk.c winkwonk.c
2022/01/23 14:08:09 winkwonk.c winkwonk.c
2022/01/23 14:10:21 winkwonk.c winkwonk.c
2022/01/23 14:10:21 winkwonk.c winkwonk.c
2022/01/23 14:10:23 winkwonk.c winkwonk.c
2022/01/23 14:10:23 winkwonk.c winkwonk.c
