2022/02/02 15:17:08 Micro started
2022/02/02 15:17:31 main.c main.c
2022/02/02 15:17:39 main.c main.c
2022/02/02 15:17:39 main.c main.c
2022/02/02 15:17:39 main.c main.c
2022/02/02 15:17:40 main.c main.c
2022/02/02 15:17:40 main.c main.c
2022/02/02 15:17:40 main.c main.c
2022/02/02 15:17:42 main.c main.c
2022/02/02 15:17:42 main.c main.c
2022/02/02 15:17:42 main.c main.c
2022/02/02 15:18:03 main.c main.c
2022/02/02 15:19:00 main.c main.c
2022/02/02 15:19:02 main.c main.c
2022/02/02 15:19:04 main.c main.c
2022/02/02 15:19:14 main.c main.c
2022/02/02 15:19:44 main.c main.c
2022/02/02 15:19:45 main.c main.c
